procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd  libre búfer caché   si   so    bi    bo   in   cs us sy id wa st
 0  1 363896 118516  26836 303200    6   22    77    46  216  375 12  2 83  3  0
 3  0 361592 111828  26836 312040    0    0     0    88 1130 1818 32  8 55  5  0
 1  1 361592 111592  26836 312052    0    0     0     0 1043 1429 26  6 64  4  0
 3  0 359280  98040  26844 326336  598    0   598     8 1386 2277 62 12 20  6  0
 3  0 360272  89628  26768 341520    0  504     0   504  959 1437 32 11 57  1  0
 0  0 360272  79896  26768 351448    0    0     0     0  954 1115 19  5 76  0  0
 2  0 360272  73392  26776 357452    0    0    32    22  888 1244 23  4 72  1  0
 0  0 360272  71900  26776 361408    0    0     0     0  899  957 12  4 84  0  0
 1  0 360272  71776  26776 361408    0    0     0     4  423  690 10  1 90  0  0
 0  0 360272  71404  26784 361400    0    0     0    18  428  765 11  2 87  0  0
 0  0 360272  71188  26784 361408    0    0     0     0  314  693  9  1 89  0  0
 0  0 360272  71040  26784 361408    0    0     0     0  762 1006  9  2 89  0  0
 2  0 360272 131248  26792 300292    0    0     0    16  750 1027 13  5 82  0  0
 0  0 360272 131024  26792 300300    0    0     0    46  348  810 11  2 88  0  0
 0  0 360272 130920  26792 300300    0    0     0     0  817  946 12  4 79  5  0
 0  0 360272 130632  26800 300300    0    0     0     8  588  796 11  2 87  0  0
 0  0 360272 130292  26800 300300    0    0     0     2  324  747 11  2 87  0  0
 0  0 360272 130264  26800 300008    0    0     0     0  715  729  8  2 90  0  0
 0  0 360272 129924  26808 300008    0    0     0    36  823  918 11  3 86  0  0
 0  0 360272 130376  26808 300008    0    0     0     0  890  768 10  3 88  0  0
